ELEXP,ELCNS,PUBID,REGION,CENDIV,PBA,PUBCLIM,SQFT,SQFTC,RFTILT,BLDSHP,NFLOOR,ATTIC,PBAPLUS,GOVOWN,OWNTYPE,NOCC,NOCCAT,OWNOCC,OPEN24,OPNMF,OPNWE,NWKER,NWKERC,ELUSED,SLFCON,BOILER,REHEAT,FIREPLC,ELCOOL,EVAPCL,ECN,ELCOOK,ELMANU,SOGENR,ENRGYPLN,PCTERM,LAPTOP,SERVER,PCTERMN,SRVRCLST,LGOFFDEV,SMOFFDEV,TVVIDEO,FLUOR,BULB,HALO,LED,SCHED,OCSN,SKYLT
90611.0,669472.0,1885,3,5,5,3,85000,6,2,6,2,2,10,2,2,3,3,1.0,2,1,1,80,6,1,1.0,2.0,2.0,2.0,1,2.0,2.0,2,1,2,2.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
1465.0,11644.0,1886,2,3,26,2,2400,2,2,2,1,2,47,1,10,1,2,1.0,2,3,2,1,2,1,1.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
7490.0,37441.0,1887,4,9,25,4,5000,2,3,2,1,2,43,2,3,1,2,2.0,2,1,1,2,2,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,1,2,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
33657.0,277375.0,1888,4,9,14,4,19750,4,3,2,2,1,29,1,10,1,2,1.0,2,1,2,20,5,1,2.0,2.0,1.0,2.0,2,2.0,1.0,2,2,2,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
486814.0,6446438.0,1889,2,3,6,1,126000,7,2,2,1,2,14,2,2,2,3,1.0,1,1,1,50,6,1,2.0,2.0,2.0,2.0,1,1.0,1.0,1,2,2,1.0,1.0,2.0,2.0,7.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0
4362.0,51403.0,1890,3,6,2,3,4000,2,3,2,1,2,2,2,2,1,2,1.0,2,1,2,1,2,1,1.0,2.0,2.0,2.0,1,2.0,2.0,1,2,2,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
23163.0,128995.0,1891,4,9,2,4,64000,6,1,9,2,1,2,2,2,1,2,1.0,2,1,2,25,5,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,1.0,60.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
185998.0,2330513.0,1892,1,2,14,2,225000,8,1,11,3,2,28,2,5,18,5,1.0,2,1,1,200,7,1,2.0,1.0,2.0,2.0,1,2.0,2.0,2,2,1,2.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4426.0,30159.0,1893,2,3,2,2,1300,2,2,2,1,1,5,2,3,1,2,2.0,2,1,1,3,2,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
204312.0,1365435.0,1894,1,1,8,3,100000,6,1,9,2,2,18,2,2,6,4,2.0,2,1,1,50,6,1,2.0,2.0,2.0,2.0,1,2.0,1.0,2,2,2,2.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
602446.0,2463663.0,1895,4,9,8,3,220000,8,1,2,9,2,19,2,2,1,2,1.0,2,1,2,850,9,1,2.0,1.0,2.0,2.0,1,2.0,1.0,2,2,1,1.0,1.0,1.0,1.0,400.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
88578.0,944108.0,1896,3,7,26,3,102000,7,2,8,2,2,47,1,10,5,3,1.0,2,1,2,120,7,1,2.0,1.0,2.0,2.0,1,2.0,1.0,1,2,2,2.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0
50418.0,422318.0,1897,3,7,14,3,94000,6,2,9,1,1,28,1,10,1,2,1.0,2,1,2,52,6,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
2944.0,37256.0,1898,4,8,6,2,1800,2,3,2,1,1,12,2,3,1,2,1.0,2,1,1,6,3,1,2.0,2.0,2.0,2.0,1,2.0,2.0,1,2,2,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
57955.0,946113.0,1899,1,2,14,3,99000,6,1,11,2,2,28,1,10,1,2,1.0,2,1,2,44,5,1,2.0,1.0,2.0,2.0,1,2.0,2.0,1,2,2,2.0,1.0,1.0,1.0,300.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
35771.0,497656.0,1900,4,8,2,2,36500,5,3,2,3,1,6,1,10,5,3,2.0,2,1,1,25,5,1,2.0,1.0,2.0,2.0,1,2.0,1.0,1,2,2,2.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
7542.0,48809.0,1901,3,5,14,4,4500,2,3,2,1,1,30,2,3,1,2,1.0,2,1,2,12,4,1,2.0,2.0,2.0,2.0,1,2.0,2.0,1,2,2,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
3700.0,52198.0,1902,3,7,2,5,2450,2,1,2,1,2,2,2,5,1,2,1.0,2,1,1,4,2,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
426783.0,3403877.0,1903,4,9,13,4,365000,8,1,2,7,2,22,2,6,1,2,1.0,2,1,1,50,6,1,2.0,1.0,2.0,2.0,1,2.0,1.0,2,2,2,2.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
5569.0,48789.0,1904,3,7,15,3,1600,2,2,3,1,2,33,2,2,1,2,2.0,2,1,1,3,2,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,2.0,1.0,2.0,173.8687725631769,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0
304530.0,3141941.0,1905,2,3,18,7,240000,8,1,2,995,2,38,2,3,6,4,2.0,1,1,1,70,6,1,2.0,1.0,2.0,2.0,1,2.0,1.0,1,2,2,1.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
262901.0,2451083.0,1906,2,3,2,2,460000,8,1,11,6,2,4,1,9,3,3,1.0,2,1,2,2400,10,1,2.0,2.0,2.0,2.0,2,2.0,1.0,1,2,2,2.0,1.0,1.0,1.0,1000.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
15591.0,92184.0,1907,1,1,15,1,8400,3,3,2,1,1,33,2,5,1,2,1.0,2,1,1,5,3,1,2.0,1.0,2.0,2.0,1,2.0,2.0,2,2,2,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0
713472.0,7730254.0,1908,3,7,2,5,470000,8,1,2,2,2,2,2,2,1,2,2.0,1,1,1,1200,10,1,2.0,1.0,2.0,2.0,1,2.0,2.0,1,1,2,1.0,1.0,1.0,1.0,100.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
3547.0,35710.0,1909,3,5,5,4,5000,2,1,2,1,2,9,2,2,1,2,1.0,2,1,1,11,4,1,2.0,1.0,2.0,2.0,1,2.0,2.0,2,1,2,2.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
21540.0,255089.0,1910,3,5,7,7,25500,5,3,1,3,2,52,1,97,4,3,2.0,2,1,2,15,4,1,1.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
42756.0,572147.0,1911,1,2,14,3,130000,7,1,7,5,1,29,1,10,1,2,1.0,2,1,2,67,6,1,2.0,1.0,2.0,2.0,1,2.0,2.0,1,2,2,2.0,1.0,1.0,1.0,270.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
21949.0,247151.0,1912,2,3,2,2,23500,4,1,1,1,1,6,2,2,8,4,2.0,2,1,2,60,6,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,1.0,60.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
442593.0,5146276.0,1913,3,5,2,4,220000,8,1,2,4,2,2,2,2,1,2,1.0,1,1,1,300,8,1,2.0,1.0,2.0,2.0,1,2.0,1.0,2,2,2,1.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
2295.0,12750.0,1914,3,5,26,4,1700,2,2,1,2,1,48,2,3,1,2,2.0,2,1,1,1,2,1,1.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,2.0,2.0,2.0,173.8687725631769,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
56445.0,614102.0,1915,1,2,13,3,53000,6,1,4,1,1,23,1,10,1,2,2.0,2,1,1,55,6,1,2.0,1.0,2.0,2.0,1,2.0,1.0,2,2,1,2.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0
15074.0,92407.0,1916,4,8,26,5,7100,3,1,2,1,2,46,2,3,1,2,2.0,2,1,1,8,3,1,2.0,2.0,2.0,2.0,1,1.0,2.0,2,2,2,2.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
71003.0,735811.0,1917,2,4,18,7,104000,7,3,9,4,2,38,2,1,1,2,1.0,1,1,1,15,4,1,1.0,1.0,2.0,1.0,1,2.0,1.0,1,2,2,2.0,1.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
845.0,5530.0,1918,3,5,2,4,2000,2,1,2,1,2,5,2,2,2,3,2.0,2,1,2,3,2,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
426381.0,4682276.0,1919,1,2,18,7,280000,8,1,11,7,2,38,2,2,1,2,1.0,1,1,1,61,6,1,2.0,1.0,2.0,1.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
1724.0,16132.0,1920,2,4,2,2,6200,3,3,2,1,1,2,2,5,1,2,1.0,2,1,2,5,3,1,1.0,2.0,2.0,2.0,1,2.0,2.0,1,2,2,2.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
363122.0,3060585.0,1921,1,1,16,7,80000,6,1,9,3,1,35,2,5,1,2,1.0,1,1,1,250,8,1,2.0,1.0,2.0,2.0,1,2.0,1.0,1,2,2,2.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0
107463.0,1151222.0,1922,1,2,2,3,70000,6,1,2,3,2,2,2,2,4,3,2.0,2,1,2,110,7,1,2.0,2.0,1.0,2.0,1,2.0,1.0,2,2,2,2.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
59191.0,687327.0,1923,2,3,23,2,44500,5,1,1,1,2,50,2,2,4,3,2.0,2,1,1,20,5,1,2.0,2.0,2.0,2.0,1,2.0,1.0,1,2,2,2.0,1.0,1.0,2.0,11.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
468638.0,5054605.0,1924,1,2,91,2,330000,8,1,2,2,2,49,1,9,19,5,1.0,1,1,1,75,6,1,2.0,1.0,2.0,2.0,1,2.0,1.0,1,1,2,2.0,1.0,1.0,1.0,30.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
2269.0,26414.0,1925,3,7,26,4,3600,2,2,1,1,2,47,1,8,1,2,1.0,2,2,1,4,2,1,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2,2,2.0,2.0,2.0,2.0,173.8687725631769,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
95506.0,447631.0,1926,4,9,5,4,90000,6,1,6,1,2,9,2,2,8,4,2.0,1,1,1,20,5,1,2.0,2.0,2.0,2.0,1,1.0,2.0,2,2,2,2.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
66974.0,450049.0,1927,1,1,14,1,116000,7,3,11,1,1,29,1,10,1,2,1.0,2,1,2,65,6,1,2.0,1.0,2.0,2.0,1,2.0,2.0,1,2,2,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
118886.0,874882.0,1928,4,9,24,7,200000,7,1,2,1,2,51,2,2,996,996,2.0,2,1,1,500,9,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,1.0,150.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
1809308.0,18449629.0,1929,3,6,16,7,500001,9,1,10,8,1,35,2,2,1,2,1.0,1,1,1,1000,10,1,1.0,1.0,2.0,2.0,1,2.0,1.0,1,2,2,2.0,1.0,1.0,1.0,150.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0
143778.0,1560548.0,1930,1,2,8,3,80000,6,1,2,3,2,18,2,3,37,6,1.0,2,1,1,370,8,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
13868.0,126744.0,1931,2,3,5,1,120000,7,1,2,1,2,9,2,3,3,3,1.0,2,1,1,20,5,1,1.0,2.0,2.0,2.0,1,2.0,2.0,2,1,2,2.0,1.0,1.0,1.0,6.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0
710287.0,9506591.0,1932,1,2,2,3,700000,9,1,11,9,2,2,2,2,35,6,2.0,1,1,1,925,9,1,1.0,1.0,2.0,2.0,1,2.0,2.0,1,2,2,2.0,1.0,2.0,1.0,750.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0
204206.0,1685502.0,1933,2,3,14,3,120000,7,2,2,2,2,29,1,10,1,2,1.0,2,1,1,65,6,1,2.0,1.0,2.0,2.0,1,2.0,1.0,1,2,2,2.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0
36503.0,471271.0,1934,1,2,14,2,72000,6,1,11,1,2,31,2,5,1,2,1.0,2,1,2,50,6,1,2.0,2.0,2.0,2.0,1,2.0,1.0,2,2,2,2.0,1.0,1.0,1.0,40.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
7131.0,54947.0,1935,1,2,13,2,35000,5,3,10,2,2,25,2,5,1,2,1.0,1,1,1,15,4,1,2.0,1.0,2.0,1.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
10809.0,132311.0,1936,3,7,6,4,3000,2,1,2,1,1,12,2,2,1,2,1.0,1,1,1,1,2,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
8571.0,61956.0,1937,4,9,8,3,3100,2,3,6,1,2,18,2,2,1,2,1.0,2,2,2,10,4,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
571293.0,4691091.0,1938,4,9,16,7,132000,7,1,2,5,2,35,2,2,1,2,1.0,1,1,1,110,7,1,2.0,1.0,2.0,2.0,1,2.0,1.0,2,2,2,2.0,1.0,2.0,1.0,50.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
28289.0,321129.0,1939,2,4,2,3,30000,5,2,2,3,1,3,2,2,1,2,1.0,2,1,2,60,6,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,1.0,30.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0
34312.0,392377.0,1940,3,5,18,5,18000,4,2,2,3,2,37,2,2,1,2,2.0,1,1,1,3,2,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,2.0,25.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
49250.0,221013.0,1941,4,9,5,4,116000,7,1,2,1,2,10,2,1,3,3,2.0,2,1,2,25,5,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,1.0,36.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0
2354.0,21283.0,1942,2,3,12,2,4500,2,3,2,2,1,21,2,4,1,2,1.0,2,3,1,1,2,1,2.0,2.0,2.0,2.0,1,2.0,1.0,1,2,2,2.0,2.0,2.0,2.0,173.8687725631769,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
406923.0,3640261.0,1943,4,8,2,2,250000,8,1,3,6,2,6,2,3,6,4,2.0,2,1,2,250,8,1,2.0,1.0,2.0,2.0,1,2.0,1.0,2,2,2,1.0,1.0,1.0,1.0,200.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
40850.0,312306.0,1944,2,3,13,2,18250,4,3,2,1,2,23,1,10,1,2,1.0,2,1,1,6,3,1,2.0,1.0,2.0,2.0,1,2.0,1.0,2,2,2,2.0,1.0,1.0,1.0,42.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0
15092.0,126165.0,1945,3,6,8,4,18000,4,3,2,2,1,18,2,5,1,2,1.0,2,1,2,25,5,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
5582.0,30106.0,1946,3,5,26,4,3600,2,2,2,1,1,48,2,3,1,2,1.0,2,1,2,3,2,1,1.0,2.0,2.0,2.0,1,2.0,2.0,2,1,2,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
366127.0,5108683.0,1947,4,8,25,5,205000,8,1,2,1,2,42,2,2,4,3,1.0,1,1,1,150,7,1,2.0,2.0,2.0,2.0,1,2.0,2.0,1,2,1,2.0,1.0,1.0,2.0,50.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
33181.0,158354.0,1948,1,1,13,2,38000,5,3,2,3,2,24,2,3,2,3,2.0,2,1,1,6,3,1,2.0,2.0,2.0,2.0,1,2.0,2.0,2,2,2,2.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
163584.0,830246.0,1949,4,9,2,4,64000,6,1,2,6,2,2,2,2,75,7,2.0,2,1,2,200,7,1,2.0,2.0,2.0,2.0,1,2.0,1.0,2,2,2,2.0,1.0,1.0,1.0,179.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0
4333.0,33727.0,1950,2,3,1,2,1800,2,3,1,2,2,1,2,2,1,2,2.0,2,2,1,0,1,1,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2,2,2.0,2.0,2.0,2.0,173.8687725631769,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
